+00,365830033324514136694460830768
+00,461366389316903213746456913213
+00,581852023621300395994637710828
+00,733802429547285472999362809787
+00,925434618682293042013498052256
+01,167111471658671684181740602071
+01,471902130932605912150279436901
+01,856288739896432504750123371196
+02,341057746606426626101438159822
+02,952423971096078680886876099976
+03,723448222385173256299140120973
+04,695825125561593260670179006411
+05,922137839137252335319772100775
+07,468701590872560913680899830069
+09,419149801759543194634716201108
+11,878956724741994932514899119269
+14,981141168593904211547851446085
+18,893459746837645951700324076228
+23,827478640525885822398777236231
+30,050014447975662790213391417637
+37,897562807493770264954946469516
+47,794495048726538755090587073937
