3	2	-1.318218274236361731155398047122
3	3	-1.244016861857335953800429706462
3	4	-1.250182546289913432246976299211
3	5	-1.249927859332761626021124357067
3	6	-1.249930056599662053784527415701
5	2	-1.431606254090982854876301644254
5	3	-1.282700248542782528460293178796
5	4	-1.242655136954010863803432584973
5	5	-1.254435721622061628011124412296
5	6	-1.253304453806627805079187965021
10	2	-1.431606254090982854876301644254
10	3	-1.282700248542782528460293178796
10	4	-1.242655136954010863803432584973
10	5	-1.254435721622061628011124412296
10	6	-1.253304453806628249168397815083
50	2	-1.431606281155064497312423554831
50	3	-1.282700512414374438563413605152
50	4	-1.242655675184427765955774702888
50	5	-1.254436393451029196910440077772
50	6	-1.253305164393245130227683148405
