 1.000000000000000020816681711722e-03	4.000999999998811063051107339561e+00	-5.998999999999199417288764379919e+00	-9.999998333332312805410424516595e-01	-2.467400689038571570677049749065e+00	1.000500166708384597313852282241e+00	4.000999999999699241470807464793e+00	-9.999998333327653199376072734594e-01	
 1.000000000000000047921736023859e-04	4.000099999998951716406736522913e+00	-5.999900000013269618648337200284e+00	-9.999999983332226172194623359246e-01	-2.467401096165211082933410580154e+00	1.000050001671581867412896826863e+00	4.000100000007833500603737775236e+00	-9.999999983367757749874726869166e-01	
 1.000000000000000081803053914031e-05	4.000010000027032219804823398590e+00	-5.999990000127296774223850661656e+00	-9.999999999898840918888254236663e-01	-2.467401100247380352215031962260e+00	1.000005000051373826863709837198e+00	4.000010000027032219804823398590e+00	-9.999999999621421720163993995811e-01	
 1.000000000000000166506348639461e-06	4.000001000648011562077499547740e+00	-5.999999000749766331352930137655e+00	-9.999999999175661624661870519049e-01	-2.467401100616816389532459652401e+00	1.000000500184228036104627790337e+00	4.000001000648011562077499547740e+00	-1.000000000139777744934121983533e+00	
 1.000000000000000219445907842855e-07	4.000000082271525592148009309312e+00	-5.999999892480899710278663405916e+00	-1.000000000583864956382740274421e+00	-2.467401096234238533355664912960e+00	1.000000047213233989040759297495e+00	4.000000091153309789149261632701e+00	-1.000000002804313004034497680550e+00	
 1.000000000000000186358683340734e-08	3.999999975690115228132981428644e+00	-5.999999963535173286288681993028e+00	-9.999999939225284739663379696140e-01	-2.467401085276780481336800221470e+00	9.999999939225288070332453571609e-01	3.999999975690115228132981428644e+00	-9.999999939225288070332453571609e-01	
 1.000000000000000269076744596037e-09	4.000000330961483108183074364206e+00	-6.000000496442224218185401696246e+00	-1.000000082740370332956558740989e+00	-2.467401304426021457771867062547e+00	1.000000082740370777045768591051e+00	4.000000330961483108183074364206e+00	-1.000000082740370777045768591051e+00	
 1.000000000000000294926138738319e-10	4.000000330961483108183074364206e+00	-6.000000496442224218185401696246e+00	-1.000000082740370332956558740989e+00	-2.467401304426021013682657212485e+00	1.000000082740370777045768591051e+00	4.000000330961483108183074364206e+00	-1.000000082740370777045768591051e+00	
 1.000000000000000262614396060466e-11	4.000000330961483108183074364206e+00	-6.000000496442224218185401696246e+00	-1.000000082740370332956558740989e+00	-2.467401304426021457771867062547e+00	1.000000082740370777045768591051e+00	4.000000330961483108183074364206e+00	-1.000000082740370777045768591051e+00	
 1.000000000000000181835039365835e-12	4.000355602329363158276009926340e+00	-6.000533403494045181503224739572e+00	-1.000088900582340345479792631522e+00	-2.467620453667021873656040042988e+00	1.000088900582340789569002481585e+00	4.000355602329363158276009926340e+00	-1.000088900582340789569002481585e+00	
 1.000000000000000156591490398762e-13	3.996802888650563101435864155064e+00	-5.986322548778843177785802254220e+00	-9.992007221626403312697561887035e-01	-2.465428961257015938457470838330e+00	9.947598300641401491972715120937e-01	3.996802888650563101435864155064e+00	-9.947598300641401491972715120937e-01	
 1.000000000000000156591490398762e-14	4.085620730620575180580544838449e+00	-6.039613253960850691726136574289e+00	-9.992007221626402202474537261878e-01	-2.520216271507171867938268405851e+00	9.769962616701376445504934054043e-01	4.085620730620575180580544838449e+00	-9.769962616701376445504934054043e-01	
 1.000000000000000077705399876661e-15	3.552713678800500485266411487828e+00	-5.329070518200751394033432006836e+00	-1.110223024625156096334421818028e+00	-2.191492410006236735142692850786e+00	8.881784197001251213166028719570e-01	3.552713678800500485266411487828e+00	-8.881784197001251213166028719570e-01	
 1.000000000000000102357303164818e-16	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	
 1.000000000000000071542424054622e-17	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	
 1.000000000000000071542424054622e-18	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	0.000000000000000000000000000000e+00	
